policy_id,regime,seed,days,total_demand,completed_loads,unmet_demand,demand_fulfillment_rate,effective_output,total_tco,total_tco_report_value,pm_cost,cm_cost,downtime_cost,degradation_cost,unmet_demand_cost,pm_count,pm_component_count,pm_tire,pm_engine,pm_brake,cm_count,cm_tire,cm_engine,cm_brake,failure_count,total_downtime_hours,avg_truck_hi,avg_tire_hi,avg_engine_hi,avg_brake_hi,avg_frailty,max_frailty,availability_rate,route_r_a1_loads,route_r_a2_loads,route_r_b1_loads,route_r_b2_loads,route_r_c1_loads,route_r_c2_loads,shovel_a_loads,shovel_b_loads,shovel_c_loads,crusher_1_loads,crusher_2_loads,pm_bay_utilization,max_simultaneous_pm,standby_reserve_activations,avg_selected_route_value,avg_selected_risk_penalty,avg_selected_capacity_score,avg_selected_queue_penalty,shortfall_sensitivity,target_effective_output,effective_output_shortfall,effective_output_shortfall_cost,effective_fulfillment_rate,avg_grade_per_load,total_tco_v1,total_tco_v2,total_tco_v2_report_value,congestion_alpha,congestion_beta,congestion_cost_level,congestion_cost_per_hour,congestion_delay_hours_hard,congestion_cost_hard,total_tco_v3_hard,congestion_delay_hours_total,route_queue_hours_total,shovel_queue_hours_total,crusher_queue_hours_total,congestion_cost,total_tco_v3,total_tco_v3_report_value,soft_congestion_start,soft_congestion_alpha,soft_congestion_beta,congestion_delay_hours_soft,congestion_cost_soft,total_tco_v4_soft_congestion,total_tco_v4_soft_congestion_report_value,avg_realized_cycle_time_min,avg_base_cycle_time_min,avg_realized_cycle_time_hours,avg_base_cycle_time_hours,completed_loads_per_hour,route_hhi,max_route_share,max_route_utilization,max_shovel_utilization,max_crusher_utilization,route_fallback_loads,route_rejected_loads,route_r_a1_attempts,route_r_a2_attempts,route_r_b1_attempts,route_r_b2_attempts,route_r_c1_attempts,route_r_c2_attempts,shovel_a_attempts,shovel_b_attempts,shovel_c_attempts,crusher_1_attempts,crusher_2_attempts,guard_skip_count,fallback_to_h4_count,route_guard_violation_count,shovel_guard_violation_count,crusher_guard_violation_count,risk_guard_violation_count,stage,soft_utilization_threshold,risk_guard_level
H4,heterogeneous_condition,101,90,18900,18900,0,1.0,5254200.0,4801.762282,4801762.282,1861.5,0.0,2791.2,149.062282,0.0,660,680,295,206,179,0,0,0,0,0,2326,0.750665,0.788265,0.771995,0.786633,0.937723,2.4518,0.769111,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.386111,2,0,0.648189,1.743885,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,4801.762282,5071.767682,5071767.682,1.0,2.0,base,0.5,0.0,0.0,5071.767682,0.0,0.0,0.0,0.0,0.0,5071.767682,5071767.682,0.85,0.1,2.0,0.35052,0.17526,5071.942941,5071942.941,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,102,90,18900,18900,0,1.0,5254200.0,4792.161615,4792161.615,1890.5,0.0,2750.4,151.261615,0.0,679,696,353,218,125,0,0,0,0,0,2292,0.741651,0.781789,0.762057,0.771326,0.873249,2.345799,0.77013,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.37338,2,0,0.648189,1.750909,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,4792.161615,5062.167015,5062167.015,1.0,2.0,base,0.5,0.0,0.0,5062.167015,0.0,0.0,0.0,0.0,0.0,5062.167015,5062167.015,0.85,0.1,2.0,0.35052,0.17526,5062.342275,5062342.275,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,103,90,18900,18900,0,1.0,5254200.0,6170.840806,6170840.806,2408.5,0.0,3576.0,186.340806,0.0,822,851,359,307,185,0,0,0,0,0,2980,0.719785,0.756054,0.772774,0.773869,0.992559,2.718937,0.76,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.5,2,0,0.648189,1.807673,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,6170.840806,6440.846206,6440846.206,1.0,2.0,base,0.5,0.0,0.0,6440.846206,0.0,0.0,0.0,0.0,0.0,6440.846206,6440846.206,0.85,0.1,2.0,0.35052,0.17526,6441.021466,6441021.466,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,104,90,18900,18900,0,1.0,5254200.0,5230.518704,5230518.704,2029.5,0.0,3036.0,165.018704,0.0,754,765,363,199,203,0,0,0,0,0,2530,0.73156,0.77091,0.755041,0.777273,0.94391,2.700947,0.767093,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.411343,2,0,0.648189,1.774984,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,5230.518704,5500.524104,5500524.104,1.0,2.0,base,0.5,0.0,0.0,5500.524104,0.0,0.0,0.0,0.0,0.0,5500.524104,5500524.104,0.85,0.1,2.0,0.35052,0.17526,5500.699363,5500699.363,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,105,90,18900,18900,0,1.0,5254200.0,5578.668509,5578668.509,2170.5,0.0,3237.6,170.568509,0.0,767,783,339,255,189,0,0,0,0,0,2698,0.749999,0.769501,0.787747,0.784852,1.020715,2.576161,0.764204,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.447454,2,0,0.648189,1.774376,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,5578.668509,5848.673909,5848673.909,1.0,2.0,base,0.5,0.0,0.0,5848.673909,0.0,0.0,0.0,0.0,0.0,5848.673909,5848673.909,0.85,0.1,2.0,0.35052,0.17526,5848.849169,5848849.169,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,106,90,18900,18900,0,1.0,5254200.0,5073.505128,5073505.128,1967.5,0.0,2953.2,152.805128,0.0,668,681,259,263,159,0,0,0,0,0,2461,0.741168,0.778621,0.759847,0.773345,0.982959,2.36643,0.766759,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.415509,2,0,0.648189,1.775906,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,5073.505128,5343.510528,5343510.528,1.0,2.0,base,0.5,0.0,0.0,5343.510528,0.0,0.0,0.0,0.0,0.0,5343.510528,5343510.528,0.85,0.1,2.0,0.35052,0.17526,5343.685788,5343685.788,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,107,90,18900,18900,0,1.0,5254200.0,5340.383529,5340383.529,2080.0,0.0,3092.4,167.983529,0.0,763,784,381,207,196,0,0,0,0,0,2577,0.742974,0.798929,0.754718,0.7967,0.96149,2.78374,0.76637,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.42037,2,0,0.648189,1.765317,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,5340.383529,5610.388929,5610388.929,1.0,2.0,base,0.5,0.0,0.0,5610.388929,0.0,0.0,0.0,0.0,0.0,5610.388929,5610388.929,0.85,0.1,2.0,0.35052,0.17526,5610.564189,5610564.189,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,108,90,18900,18900,0,1.0,5254200.0,6608.474924,6608474.924,2551.0,0.0,3858.0,199.474924,0.0,878,915,361,296,258,0,0,0,0,0,3215,0.728966,0.773913,0.749588,0.783627,1.128587,3.150683,0.756685,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.541435,2,0,0.648189,1.805525,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,6608.474924,6878.480324,6878480.324,1.0,2.0,base,0.5,0.0,0.0,6878.480324,0.0,0.0,0.0,0.0,0.0,6878.480324,6878480.324,0.85,0.1,2.0,0.35052,0.17526,6878.655583,6878655.583,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,109,90,18900,18900,0,1.0,5254200.0,4788.253645,4788253.645,1867.5,0.0,2768.4,152.353645,0.0,699,708,351,182,175,0,0,0,0,0,2307,0.740051,0.777128,0.781174,0.777585,0.909119,2.084195,0.770185,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.372685,2,0,0.648189,1.759217,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,4788.253645,5058.259045,5058259.045,1.0,2.0,base,0.5,0.0,0.0,5058.259045,0.0,0.0,0.0,0.0,0.0,5058.259045,5058259.045,0.85,0.1,2.0,0.35052,0.17526,5058.434304,5058434.304,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
H4,heterogeneous_condition,110,90,18900,18900,0,1.0,5254200.0,6663.34565,6663345.65,2611.5,0.0,3850.8,201.04565,0.0,889,927,408,332,187,0,0,0,0,0,3209,0.725912,0.762931,0.767868,0.794023,1.167516,3.047173,0.757,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0.5375,2,0,0.648189,1.814709,52.314286,0.243593,base,5292000.0,37800.0,270.0054,0.992857,0.794286,6663.34565,6933.35105,6933351.05,1.0,2.0,base,0.5,0.0,0.0,6933.35105,0.0,0.0,0.0,0.0,0.0,6933.35105,6933351.05,0.85,0.1,2.0,0.35052,0.17526,6933.52631,6933526.31,23.43127,23.43127,0.390521,0.390521,8.75,0.174694,0.214286,0.6,0.96,0.9,0,0,2430,3240,2430,4050,2700,4050,5670,6480,6750,7560,11340,0,0,0,0,0,0,S2,0.9,base
